"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17"
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,0,1,0,0
0,0,1,0,0,1,1,1,1,0,0,1,-1.4518159055331006,1,0,0,3
0,0,1,0,0,1,1,1,1,0,0,1,-1.4518159055331006,1,0,1,3
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,0,0
0,1,1,0,1,1,1,0,1,1,0,0,-0.45056355688958294,1,0,0,1
0,1,1,0,1,0,0,0,1,1,0,0,-0.45056355688958294,1,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
0,1,1,0,1,0,0,0,1,1,0,0,-0.45056355688958294,1,0,0,1
1,0,1,1,0,1,1,0,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,0,1,0
0,1,1,0,1,0,0,0,1,1,0,0,-0.45056355688958294,1,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,-1.4518159055331006,0,0,0,6
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,1,1,0
0,1,1,0,1,0,0,0,1,1,0,0,-0.45056355688958294,1,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,-0.45056355688958294,0,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,0,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,-0.45056355688958294,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
0,1,1,0,1,1,0,0,1,1,0,0,-0.45056355688958294,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,1,1,0
0,1,1,0,0,1,1,0,1,1,0,0,-0.45056355688958294,1,0,1,1
0,0,1,0,0,1,1,1,1,0,0,1,-1.4518159055331006,1,0,0,3
0,1,1,0,1,1,0,0,1,1,0,0,-0.45056355688958294,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,-0.45056355688958294,1,0,0,1
0,0,1,0,0,1,1,0,0,0,1,0,-1.4518159055331006,0,0,0,6
0,0,1,0,0,1,1,1,1,1,0,0,0.5506887917539348,1,0,0,4
0,0,1,0,0,0,0,0,1,1,0,0,0.5506887917539348,1,0,1,2
0,1,1,0,0,0,0,0,1,1,0,0,-0.45056355688958294,1,0,1,1
0,0,1,0,0,1,1,0,0,0,0,0,1.5519411403974526,0,0,0,6
0,0,1,0,0,1,1,1,1,0,0,1,-1.4518159055331006,1,0,0,3
0,1,1,0,1,0,1,0,1,1,0,0,-0.45056355688958294,1,0,1,1
0,0,1,0,0,0,1,1,1,1,0,0,-1.4518159055331006,1,0,0,2
0,1,1,0,1,0,0,0,1,1,0,0,-0.45056355688958294,1,1,0,1
0,0,0,0,0,0,1,0,0,1,1,0,2.55319348904097,1,0,0,6
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,0,1,0
0,1,1,0,1,0,1,0,1,1,0,0,-0.45056355688958294,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,1.5519411403974526,0,0,0,5
0,0,1,0,0,0,1,1,1,1,1,0,-1.4518159055331006,1,0,0,2
0,0,1,0,0,1,1,0,0,0,0,0,0.5506887917539348,0,0,0,6
0,1,1,0,1,0,1,0,1,1,0,0,-0.45056355688958294,1,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,0,0,1,0
0,0,1,0,0,1,1,1,1,0,1,1,-1.4518159055331006,1,0,1,3
0,0,1,0,0,0,0,0,0,1,0,0,-1.4518159055331006,0,0,0,6
1,0,1,0,1,0,0,0,0,1,0,0,1.5519411403974526,0,0,0,5
0,0,1,0,0,1,0,1,1,0,0,1,-1.4518159055331006,1,0,0,3
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,1,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
0,0,1,0,1,0,0,0,0,1,0,0,1.5519411403974526,0,0,0,5
0,0,1,0,0,1,1,0,0,0,0,0,2.55319348904097,0,0,1,6
0,0,1,0,0,1,1,1,1,0,0,1,-1.4518159055331006,1,0,1,3
1,0,0,1,0,1,1,1,1,1,0,1,-0.45056355688958294,1,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,-1.4518159055331006,0,0,0,6
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,1,0,0
0,1,1,0,0,0,1,0,1,1,0,0,-0.45056355688958294,1,0,1,1
1,0,1,0,1,0,0,0,0,1,1,0,1.5519411403974526,0,1,0,5
1,0,0,1,0,0,1,1,1,1,0,0,-0.45056355688958294,0,1,1,0
0,0,1,0,0,1,1,1,1,0,0,1,-1.4518159055331006,1,0,1,3
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,1,1,1,1,1,0,1,-1.4518159055331006,0,0,1,0
0,0,1,0,0,1,1,1,1,0,0,1,-1.4518159055331006,1,0,0,3
1,0,0,1,0,0,0,1,1,1,0,0,0.5506887917539348,1,1,1,0
0,0,1,0,0,1,1,1,1,1,0,0,0.5506887917539348,0,0,0,4
0,0,1,0,0,1,0,1,1,0,0,1,-1.4518159055331006,1,0,0,3
1,0,0,1,0,1,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
0,0,1,0,0,1,1,1,1,1,1,0,0.5506887917539348,0,0,0,4
1,0,1,0,1,0,0,0,0,1,0,0,1.5519411403974526,0,0,0,5
0,0,1,0,1,0,1,0,0,1,0,0,1.5519411403974526,0,0,0,5
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
0,0,1,0,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,0,2
0,1,1,0,1,0,0,0,1,1,0,0,-0.45056355688958294,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,0.5506887917539348,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,-0.45056355688958294,1,0,0,0
